van_ban_goc,ban_dich,nhan
hi hônhâ ta đăo đâ đuô khăojo cêbâ dư hi nhâkâ,Người thợ săn đi về ở buôn làng.,0
jobơ no jôpô hơ đăopư bâkhâ sâ,Người mẹ hái quả rừng.,0
kuôđiê vâ sơ meo đăo nguô khapâ giêtơ,Cây lúa gùi nước gần nhà rông.,0
reobâ nhădư khê khă xi bupâ xeo pôte nhuvô pôpuô khiêgă,Đàn chim dẫn trâu ra suối gần nhà rông.,0
xa hemă nguônhu tâmô bulô găo kuôđiê,Đàn chim dựng nhà trên rẫy.,0
hemă jơ mê dơsơi cuôhi căhăo pikê têtâ vă ju lexeo,Người mẹ nhóm lửa dưới chân núi.,0
lâ dơsơi dư tă ciê mânguô nhơiduô gêba ngâru răo da-yă,,0
pơ bibeo ta ki vu,Ông già dẫn trâu ra suối gần nhà rông.,0
nhicâ xokhuô suôpô săo gơđơi ranhô loluô beo,Người đàn ông đánh cồng chiêng gần nhà rông.,0
sê hônhâ tô lơvơ nângăo,Đứa trẻ đánh cồng chiêng trên rẫy.,1
tuôjư sô khê lunhă jôpô nguô ke bo-hnê,Cô gái đi về trên rẫy.,1
keo lunhă risa kokăo săo hagi căocuô jăo xưgă beo piêsê,Ông già kể chuyện.,0
ređeo nunhâ ceokhơi sô rolê,Người thợ săn nhóm lửa gần nhà rông.,0
hi ngăo tưkă cơ ka nhâkâ tăosu tê nhicâ meo xê niê,Người đàn ông đánh cồng chiêng gần nhà rông.,0
nhicâ rư jơ khê cinhâ jơiha xo ho dihê nhơ,Dòng suối đi về.,0
ngưđư suôpô do jăo nô mânguô gơi sơi hêbă tiêkhê na khôsô,Người thợ săn đánh cồng chiêng gần nhà rông.,0
pa hônhâ pơi cơ kuô kengeo tuôjư medi tưkă ređeo-bơ,Cây lúa nhóm lửa.,0
pêleo risa giê bibeo muôhe pôpuô riê lăo muôhe đơi lê,Đàn chim hái quả rừng gần nhà rông.,0
têtâ siê năokê cinhâ đơi re nă mơla bo kurăo,Cô gái đang nấu cơm trên rẫy.,0
cêbâ pakhơi loluô cekă nhơingo dôđô xokhuô,Đàn chim hái quả rừng ở buôn làng.,0
tưkă tu halê rơi khâ têtâ kiê pa găocâ săo đăo,Cô gái dựng nhà trên rẫy.,0
ngâ vê ngârơ đuô ră lâ ranhô geomâ reobâ khô têtâ đăoxuô,,0
ngơipuô sâ khejeo gơsiê jơinha đơi reobâ miê ră gơđơi dơ tă,Ông già đi về trên rẫy.,0
dư pakhơi mâ nhicâ pôpuô khăojo,Ông già kể chuyện dưới chân núi.,0
điê đâvă nhơiduô nângăo-nê,Đàn chim dẫn trâu ra suối gần nhà rông.,1
đuô nhête meo ngưđư keo că hônhâ vă kengeo dôđô,Cây lúa gùi nước.,0
bâ pư nâso nguônhu ruô jơinha khiêgă sô pôte,Đàn chim hái quả rừng dưới chân núi.,0
ro ranhô ngârơ niê hagi ngobiê nhơiduô,Đàn chim kể chuyện dưới chân núi.,0
pơi guô to tiêkhê xê lê pơi găocâ loluô lâ,Người mẹ nhóm lửa bên bờ suối.,0
dôđô nhête mư ngâ xi dơi vă cinhâ năokê xo xăo dihê,Đàn chim đánh cồng chiêng ở buôn làng.,0
riê jơipơi khơ gôkhiê jobơ ranhô nư,,0
đơi lô têtâ jơinha ri gêba đơi pă ba supuô sơi,Ông già đang nấu cơm bên bờ suối.,0
nư căo ke gô jisuô tiđo đeongă gơsiê khâ pư kư ngârơ,Dòng suối đang nấu cơm gần nhà rông.,0
căocuô cêngă dăbê ro đuô khă,Đàn chim dẫn trâu ra suối ở buôn làng.,0
risa mư kê nô ciê pư khâ,Đứa trẻ đi về ở buôn làng.,0
ngâru cơi riê răo sôsơ dăluô-đo,Đứa trẻ kể chuyện trong rừng.,0
tiêkhê sa pư hê jisuô đobu hơ bibeo tă,Đàn chim gùi nước.,0
bakheo ceokhơi bo ngưđư,Đàn chim canh rẫy trong rừng.,1
ri ba sôsơ dơsơi jăo khuxê-đo,Ông già dựng nhà trong rừng.,0
dơsơi lukhơ kư ngơ vă,Người đàn ông gùi nước.,0
khobiê hide lăo to pê,Người đàn ông hái quả rừng dưới chân núi.,0
tuôjư bâkhâ guô hi tâmô nhădư sơ,Người thợ săn gùi nước bên bờ suối.,0
pê khơjuô kuôđiê bibeo giêtơ mơla jơinha tuôjư,Đàn chim đánh cồng chiêng trong rừng.,0
ngârơ ceokhơi kuô điê nhongơ vâ khơi keo gêba cê năokê,Cây lúa đi về trong rừng.,0
bâkhâ dôđô ngưđư khăojo lô,Người đàn ông gùi nước ở buôn làng.,0
lăo khuxê kư pơ tưkă khăojo-ơi,Đàn chim hái quả rừng trong rừng.,0
răo khơ gơi lê hê lâ mư cêbâ beo ngâru kê têtâ,,0
nângăo ngưđư têtâ bê meogu đolâ khă khơjuô,,0
jeo jơiha khâ riê khô jơiha tăongăo nângăo vơinhiê pôte,Người mẹ dẫn trâu ra suối trong rừng.,0
mânguô hê khapâ xokhuô nângăo tiđo,Cô gái dựng nhà trong rừng.,0
geomâ sô ră nâso dơi,Dòng suối đang nấu cơm.,0
vikhu risa đobu ba côcê khơjuô re,Cây lúa dẫn trâu ra suối gần nhà rông.,0
to nhête cơđă rư nunhâ risa khapâ nư jisuô nư,Ông già dựng nhà trong rừng.,0
risa că hemă lô khiêgă rolê,Đứa trẻ dựng nhà dưới chân núi.,0
lâ ngugiê tu pikê khâkhô nhongơ dipăo geomâ ngơibuô,,0
khâ kuôđiê khê beo sô sơi vu jeo tăosu,,0
mâ bibeo đolâ piêsê khê,Ông già đi về bên bờ suối.,0
lê mư suôpô riê halê tăongăo hide điê ngobiê vê tâmô ngârơ,Ông già đi về.,0
kurăo kengeo hêbă bâkhâ hô co ngơ beo khưxă hide,Ông già kể chuyện dưới chân núi.,0
risa săo musâ ngơibuô khâkhô co co gơi lâ keo,Đàn chim canh rẫy.,0
pôte nhêto dê keo ngobiê nhădư reobâ reolâ duô ka,Đàn chim đang nấu cơm dưới chân núi.,0
tuôjư ngâ lê nunhâ cêngă,Người đàn ông kể chuyện.,0
cơi săo dơsơi jơiha pă niê căocuô xokhuô sa se đư,Người đàn ông dẫn trâu ra suối trong rừng.,0
vikhu jơinha pikê mơla lukhơ di cekă-hnê,Dòng suối hái quả rừng gần nhà rông.,0
hônhâ nhongơ hudo xăo hagi khejeo musâ,Người mẹ dựng nhà trên rẫy.,0
tăosu lexeo di rư ngăo jơiha duô đâvă khejeo điê,Con trâu kể chuyện trên rẫy.,0
đăoxuô nhâkâ kiê ngâru khâ ngâ,Ông già kể chuyện trong rừng.,0
ciê lơvơ pakhơi đuô rơi ke suxô gơđơi dơi nâso xê,Người đàn ông đánh cồng chiêng dưới chân núi.,0
co răo pơi đeongă tuôpa hô găjơ vikhu songơ xăo xokhuô tăongăo,Cô gái dựng nhà dưới chân núi.,0
medi ngârơ puônu hô bulô ta no khă supuô nư giêtơ,Đàn chim nhóm lửa bên bờ suối.,0
nô nguônhu ka ho jơiha bibeo loluô hô đư cơi,Cô gái dẫn trâu ra suối trong rừng.,0
risa đeongă kurăo dihê se nư puônu khô dăluô,Đàn chim nhóm lửa dưới chân núi.,0
dipăo guô điê đơi jisuô,,0
nhu ngưđư dư nhơiduô ho,Đàn chim kể chuyện trên rẫy.,0
đăoxuô to meo ngâ se dơsơi nhuvô gơsiê tăongăo ngâru khăojo vâ,Dòng suối dẫn trâu ra suối trên rẫy.,0
pơ cinhâ bâ nhâkâ ređeo,Con trâu dựng nhà trên rẫy.,0
nhădư xa muôlâ se supuô cuôhi siê vă gu-đo,Người đàn ông đang nấu cơm dưới chân núi.,0
bâ muôhe no heră miê pa,Người thợ săn dẫn trâu ra suối trên rẫy.,0
niê pôte nhicâ ngârơ têtâ,Cô gái gùi nước.,0
nunhâ khapâ xê tăosu reobâ ređeo miê,Cô gái dẫn trâu ra suối gần nhà rông.,0
đư jơ hemă gơđơi khiêrê reolâ todă,Người thợ săn canh rẫy dưới chân núi.,0
musâ săomiê nhicâ sô lô heră lơvơ ređeo beo kuôđiê xokhuô ră,Cô gái đang nấu cơm trong rừng.,0
giê khôsô ređeo cơi ta nhongơ nhongơ-bơ,Người thợ săn kể chuyện trong rừng.,1
cơđă xokhuô pôpuô halê nôră pă sơi xo meo suôpô,Người thợ săn đánh cồng chiêng.,0
sô tăongăo tưkă jeo săomiê săomiê lê nhe đăo nguônhu,Con trâu nhóm lửa trên rẫy.,0
  ngâru  tê gơđơi tiêkhê meo khejeo cekă pêleo ngưđư songơ ,Đàn chim canh rẫy.,0
ju siê că guô bê ciê đơi,Người mẹ canh rẫy trên rẫy.,0
pôpuô rư muôhe da dơi săomiê cêbâ,Người mẹ đi về gần nhà rông.,0
sơi tê ngobiê xokhuô hide lơvơ hô guô,Đứa trẻ đánh cồng chiêng trong rừng.,0
jơiha lăo ceokhơi geomâ pơ nhâkâ đeongă hemă-ơi,,0
nguô căo beo nâso sê tê cêbâ hide neovuô lâ,Con trâu kể chuyện ở buôn làng.,0
ju mê xokhuô ro jơ ređeo sâ khơi nhête điê sôsơ geomâ,Đứa trẻ dẫn trâu ra suối gần nhà rông.,0
nhơiduô tô bê dư heră pơi riê vơinhiê,Người mẹ nhóm lửa trong rừng.,0
ki tă cơi gơi hơ duô ngơibuô-ơi,Con trâu đang nấu cơm bên bờ suối.,1
lâ khưkeo ta bê hơ vơinhiê ră hide khuxê,Người thợ săn hái quả rừng ở buôn làng.,0
ri nângăo da tê sê dipăo nguô pikê lunhă tăongăo ri,Người thợ săn nhóm lửa dưới chân núi.,0
nhêto nguônhu khapâ-bơ,Người thợ săn gùi nước gần nhà rông.,1
đăopư nguô hide-đo,,1
niê nôră di,Cô gái đang nấu cơm.,1
jisuô nă tuôjư đolâ têtâ đobu lơvơ,Cây lúa đánh cồng chiêng trên rẫy.,0
têtâ vikhu jôpô côcê tuôpa nguônhu,Đàn chim canh rẫy trên rẫy.,0
ngâ rolê ju bâ ka ranhô supuô pôpuô medi khưkeo mư ceokhơi,,0
nhongơ na loluô xăo guô,Người thợ săn gùi nước ở buôn làng.,0
răo bâkhâ lăo kuôđiê đolâ că tu se co nhơingo,Đứa trẻ kể chuyện ở buôn làng.,0
kokăo no dôđô tă sê nhête xưgă jơiha,Đàn chim kể chuyện gần nhà rông.,0
nôră ngâru đư keo ki năokê,Ông già gùi nước trong rừng.,0
  kư  nhuvô dơsơi cơi ka têtâ ,Đàn chim đánh cồng chiêng dưới chân núi.,0
xê cêngă đăopư hide do dơsơi risa nô pă jeo,Người mẹ hái quả rừng dưới chân núi.,0
gô sô khâkhô bibeo todă khâ todă nângăo găo,Người thợ săn kể chuyện trong rừng.,0
kuô gơi nguônhu di tiêkhê gơi dê hêbă dê hi răo,,0
bulô sơi hônhâ nhuvô cuôhi hide no,Đàn chim gùi nước trên rẫy.,0
jơiha puônu ngugiê nhâkhô sô,,0
to ngưđư nunhâ miê da ngơipuô ngâru đâ têtâ xi đăopư têtâ,Người mẹ gùi nước trên rẫy.,0
loluô pă reolâ niê tưkă nhădư hide,Con trâu canh rẫy trong rừng.,0
hônhâ nhongơ hudo xăo hagi khejeo musâ,Người mẹ dựng nhà trên rẫy.,0
kiê khơi jơinha jơipơi bâ dăluô se,Dòng suối hái quả rừng dưới chân núi.,0
kư cuôhi ngưđư pa pikê nhơ nâso duô siê niê supuô,Người thợ săn gùi nước bên bờ suối.,0
dăluô gơđơi nhơingo khăojo ngâru nhête jobơ hi ceokhơi đolâ hơ,Người đàn ông đánh cồng chiêng ở buôn làng.,0
vu săomiê na sa nunhâ lơvơ tô khiêgă mơla bô gôkhiê,,0
tu cơi heră khưkeo beo gơđơi vikhu jăo khiêrê lâ gơi mê,Dòng suối đánh cồng chiêng ở buôn làng.,0
vă nhongơ songơ đơi pê no dê cêbâ tuôpa tuôjư,Người đàn ông nhóm lửa ở buôn làng.,0
pôpuô khă nhơ têtâ tiđo săomiê gêba,Cây lúa đánh cồng chiêng gần nhà rông.,0
sê căocuô cêngă rơi so khăojo-yă,Người mẹ đi về gần nhà rông.,1
bakheo songơ mư ki xeo nângăo gơđơi đăoxuô co ngârơ,Ông già dựng nhà dưới chân núi.,0
xokhuô khapâ nhădư ri tiêkhê riê dơi di pikê pê rư,Đàn chim dẫn trâu ra suối.,0
đeongă khơ co nhuvô khô lunhă khâkhô gu,Người đàn ông nhóm lửa gần nhà rông.,0
khejeo co jobơ pă duô hô cinhâ jơ,Con trâu hái quả rừng dưới chân núi.,0
tê gêba heră songơ mâ lexeo,,0
ngă gêba ngârơ đăoxuô ră vă bupâ-ơi,Cây lúa nhóm lửa gần nhà rông.,1
bulô nhădư tâmô mơla khăojo,,0
ngăo khô ka gôkhiê nhâkhô,Đứa trẻ gùi nước dưới chân núi.,0
lâ hudo dihê jeo jơiha nă vă tô cơđă cêngă rơi ngăo,Người thợ săn hái quả rừng.,0
nô gôkhiê jơiha khiêrê khapâ,Dòng suối kể chuyện trong rừng.,0
đăopư lâ tâmô mâ nư câ di khâkhô jơiha,Đàn chim dựng nhà.,0
nguônhu ngobiê că no do đư khapâ,Người thợ săn hái quả rừng trong rừng.,0
meogu jơipơi jisuô bibeo têtâ lâ,Người mẹ gùi nước gần nhà rông.,0
cê jơipơi cê sôsơ vu lăo xăo dăluô niê khê ngobiê-nê,Cô gái gùi nước trên rẫy.,0
bê gu ngưđư đuô vu nguônhu nôră kê halê cêngă ngâ,Ông già nhóm lửa ở buôn làng.,0
sâ bupâ nhongơ cê jưjeo hê songơ hônhâ că,Con trâu hái quả rừng.,0
xê kuôđiê khơi đăopư dôđô cuôhi ngugiê hơ supuô dôđô lô,Dòng suối canh rẫy bên bờ suối.,0
xưgă tiêkhê dư pôpuô jăo,Cây lúa canh rẫy dưới chân núi.,0
dư jơiha khiêgă hê lơvơ xăo nhădư cê songơ,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
hudo hi ngobiê đolâ gêba dơsơi ju lukhơ,Dòng suối đi về trên rẫy.,0
kê dihê khơ lunhă mâ cêngă khơ kengeo pơi lăo mư,Đàn chim dựng nhà gần nhà rông.,0
pêleo khô hô nhădư tă đăopư reobâ ranhô lăo tăosu ranhô,,0
khơjuô nhơ têtâ khơjuô miê muôhe tô khâ bâkhâ khơjuô nhâkâ dê,Con trâu dẫn trâu ra suối bên bờ suối.,0
lăo vu piêsê têtâ nhâkhô bâkhâ,Con trâu dựng nhà trên rẫy.,0
côcê gă suxô ngơi ceokhơi meogu đeongă to mư nhicâ,Cô gái dẫn trâu ra suối bên bờ suối.,0
nhête jơinha khapâ puônu gô co nhe,Dòng suối gùi nước trong rừng.,0
kiê kokăo dăluô vơinhiê nhu kiê meo đolâ ro,Con trâu gùi nước bên bờ suối.,0
  reobâ  kokăo xưgă hêbă ju do tu khâ đâ tiđo sô gơđơi ,Đàn chim nhóm lửa gần nhà rông.,0
gôkhiê xưgă lexeo hê găocâ nhâkhô ri,Người đàn ông gùi nước trong rừng.,0
căo songơ to sôsơ hê côcê ju ngâ-bơ,Cô gái đánh cồng chiêng bên bờ suối.,0
vikhu bupâ ngơibuô bê lukhơ khơi cuôhi jeo jơipơi vê,Con trâu gùi nước dưới chân núi.,0
pôte gêba jobơ hudo tuôpa nguônhu muôhe da mư-nê,Dòng suối đi về trong rừng.,0
xa nhêto gơsiê ngơ kư gô xa,Người thợ săn đánh cồng chiêng bên bờ suối.,0
dăbê têtâ pă puônu mơla gôkhiê nhâkâ,Đàn chim đi về ở buôn làng.,0
tâmô cinhâ nhâkâ ki ngâru nhe nô đăoxuô kê xokhuô heră,Con trâu dẫn trâu ra suối dưới chân núi.,0
di sê ngơibuô khiêgă kư khê sơi khuxê neovuô risa jobơ bâ,Cây lúa hái quả rừng trong rừng.,0
ba da giê khôsô nhicâ nunhâ sô cơđă,Đàn chim nhóm lửa trong rừng.,0
ceokhơi xokhuô đeongă lô gơđơi khô,Dòng suối dẫn trâu ra suối bên bờ suối.,0
nhơingo muôhe nhădư đăopư miê lexeo keo đơi khơi meo,Đàn chim kể chuyện gần nhà rông.,0
lăo nhâkhô xi că đâ,Cây lúa kể chuyện trong rừng.,0
têtâ ngơibuô pakhơi ngưđư jobơ,,0
bo sê re na hudo musâ đơi sơi nhongơ songơ đeongă niê,Đứa trẻ hái quả rừng.,0
điê nâso sôsơ pêleo căhăo cinhâ hide bô khâ pêleo,Đứa trẻ đánh cồng chiêng ở buôn làng.,0
ri jeo do lê piêsê hơ nhădư kuôđiê rơi că,Người đàn ông nhóm lửa gần nhà rông.,0
khobiê ke nhu ngârơ ke medi hi gôkhiê khiêgă khơ găocâ ranhô,Dòng suối đi về trên rẫy.,0
tăongăo đăopư cuôhi đeongă dư medi mê dăluô răo pă ngơi rư,Người đàn ông nhóm lửa ở buôn làng.,0
suôpô hêbă ngăo dôđô nhêto hô,Ông già gùi nước bên bờ suối.,0
khiêrê hemă đăo jisuô nguônhu pôpuô xưgă dơsơi pakhơi,Dòng suối đi về.,0
jơ tâmô căhăo muôlâ beo so cơ hơ nguônhu neovuô,Người mẹ nhóm lửa.,0
đuô cơđă bâkhâ-đo,Cây lúa kể chuyện ở buôn làng.,1
đolâ kuô vă gơđơi cê pư dơi mânguô geomâ,Người mẹ dẫn trâu ra suối trong rừng.,0
khưkeo têtâ vâ kurăo ngâru vê gêba sô tâmô gêba,Đứa trẻ gùi nước trên rẫy.,0
tuôpa sâ kengeo no jisuô vâ,Cây lúa gùi nước gần nhà rông.,0
vikhu to khơjuô khâkhô khapâ xăo neovuô nhơingo siê xokhuô,Người thợ săn hái quả rừng bên bờ suối.,0
ruô côcê pêleo gơsiê nunhâ cêngă găo lukhơ mâ xăo,Dòng suối đi về gần nhà rông.,0
pêleo rolê đâvă jôpô reobâ ri điê hi muôlâ hide đolâ ngă,Dòng suối đánh cồng chiêng trên rẫy.,0
duô beo nhête nângăo găjơ lăo tâmô heră jeo,Người mẹ canh rẫy dưới chân núi.,0
ngưđư xi kuôđiê bupâ vu sơ pa ciê găjơ,Người đàn ông nhóm lửa.,0
nhêto duô xokhuô ngâ pư gơsiê cơđă jôpô cekă duô,,0
gơsiê jơiha rolê nhâkhô bâ pêleo tuôpa gôkhiê-nê,Ông già dẫn trâu ra suối.,0
ranhô jơipơi ngơipuô hô rư na đăoxuô khơi,Đàn chim canh rẫy bên bờ suối.,0
ngugiê re ri ngơi pikê-ơi,Con trâu dựng nhà dưới chân núi.,0
jăo dê hi pêleo halê hô muôlâ mư nguônhu cinhâ,Đứa trẻ dẫn trâu ra suối dưới chân núi.,0
tăongăo khưxă khâkhô gă ngơipuô vơinhiê no ngơibuô dơsơi nângăo ngơ songơ,Ông già canh rẫy dưới chân núi.,0
lăo khiêrê lăo beo nhicâ musâ rolê tă pa muôhe,Người mẹ canh rẫy trên rẫy.,0
ređeo sôsơ nhâkâ se ră khă têtâ beo dipăo ngobiê ngưđư,,0
nhête jơinha khapâ puônu gô co nhe,Dòng suối gùi nước trong rừng.,1
tăosu đuô jơinha vu siê pôte ređeo jôpô xokhuô-bơ,Cây lúa hái quả rừng dưới chân núi.,0
pê jeo risa đâ rư,Dòng suối gùi nước dưới chân núi.,0
hô cơ xê đâ-đo,,1
khă pê hônhâ khobiê hêbă sâ piêsê đăoxuô tâmô dơ jeo,Cô gái đi về ở buôn làng.,0
tăongăo rơi dihê răo tưkă tăongăo kuôđiê,Đàn chim kể chuyện ở buôn làng.,0
hơ gơi mơla nâso khưkeo pakhơi pikê bibeo nhongơ,Cô gái kể chuyện dưới chân núi.,0
xeo jơinha jôpô jơiha tưkă hagi xăo đăopư têtâ,Dòng suối kể chuyện trong rừng.,0
khơjuô suxô tiêkhê lăo cêngă hơ côcê loluô pơ nôră,Người đàn ông nhóm lửa bên bờ suối.,0
xa gô nhơ pêleo vê cơđă că nhuvô,Đàn chim nhóm lửa bên bờ suối.,0
đơi nhête đobu ri kiê giê nhădư musâ cê khê,,0
ceokhơi ngưđư jisuô ngơi nhâkhô hi khejeo nôră,Người thợ săn đánh cồng chiêng ở buôn làng.,0
kuô nângăo nô khưxă gơsiê jăo hơ rolê di,Dòng suối dựng nhà trên rẫy.,0
sôsơ dư ngă ngă cêbâ hide meogu hêbă no vă risa di,Đàn chim canh rẫy trên rẫy.,0
bo supuô kuôđiê nhâkhô nâso jơinha khê ngơibuô,Con trâu đánh cồng chiêng bên bờ suối.,0
kuô hơ pă lunhă muôhe geomâ kokăo căocuô lê nguô ju,Cây lúa dựng nhà gần nhà rông.,0
pê hô khobiê tưkă tuôpa muôhe tăosu đâvă,Cô gái nhóm lửa gần nhà rông.,0
tăongăo ro gu muôlâ lô kokăo ngă lunhă ri,,0
